ICD-9 Code,is_ICD-9,ICD-10 Chapter
L02,FALSE,L02
M751,FALSE,M75
G452,FALSE,G45
356.9,TRUE,G60
Z9664,FALSE,Z96
S065X,FALSE,S06
G709,FALSE,G70
K861,FALSE,K86
N19,FALSE,N19
E876,FALSE,E87
S32048G,FALSE,S32
722.2,TRUE,M51
C4650,FALSE,C46
T84019,FALSE,T84
R030,FALSE,R03
G621,FALSE,G62
S14129,FALSE,S14
781.2,TRUE,R29
C79,FALSE,C79
C504,FALSE,C50
S3210,FALSE,S32
N182,FALSE,N18
Z861,FALSE,Z86
724.5,TRUE,M54
Z471,FALSE,Z47
S06340,FALSE,S06
S420,FALSE,S42
416.8,TRUE,I27
L8915,FALSE,L89
M4150,FALSE,M41
E11618,FALSE,E11
I63411,FALSE,I63
F411,FALSE,F41
G959,FALSE,G95
R53,FALSE,R53
M47812,FALSE,M47
C218,FALSE,C21
S32592,FALSE,S32
L89159,FALSE,L89
C3411,FALSE,C34
G8194,FALSE,G81
R411,FALSE,R41
E512,FALSE,E51
N17,FALSE,N17
C50611,FALSE,C50
N811,FALSE,N81
I51,FALSE,I51
N20,FALSE,N20
M84359A,FALSE,M84
C3491,FALSE,C34
N30,FALSE,N30
J69,FALSE,J69
Z4889,FALSE,Z48
K5720,FALSE,K57
K750,FALSE,K75
D472,FALSE,D47
E1142,FALSE,E11
J479,FALSE,J47
G63,FALSE,G63
T84040,FALSE,T84
493.9,TRUE,J45
M350,FALSE,M35
M4316,FALSE,M43
E854,FALSE,E85
J93,FALSE,J93
J98,FALSE,J98
M8781,FALSE,M87
S22019A,FALSE,S22
I5043,FALSE,I50
D6181,FALSE,D61
J4540,FALSE,J45
S529,FALSE,S52
296,TRUE,F31
S61,FALSE,S61
K509,FALSE,K50
G5792,FALSE,G57
S22009A,FALSE,S22
G1220,FALSE,G12
S22070,FALSE,S22
S0531XA,FALSE,S05
J471,FALSE,J47
K5669,FALSE,K56
S329,FALSE,S32
Z8781,FALSE,Z87
I6329,FALSE,I63
G700,FALSE,G70
H3531,FALSE,H35
S4291,FALSE,S42
M19012,FALSE,M19
G25,FALSE,G25
G7000,FALSE,G70
M80021D,FALSE,M80
S79,FALSE,S79
E13621,FALSE,E13
M1383,FALSE,M13
I613,FALSE,I61
Z96612,FALSE,Z96
R0609,FALSE,R06
Z982,FALSE,Z98
G64,FALSE,G64
G46,FALSE,G46
C7931,FALSE,C79
M4804,FALSE,M48
S32599,FALSE,S32
S42352,FALSE,S42
N10,FALSE,N10
D6189,FALSE,D61
844.8,TRUE,S83
